ID|Nationality|Age|LeadTime|LodgingRevenue|OtherRevenue|Channel
228|FRA|44.0|29|174.0|251.0|Agent
230|FRA|52.0|43|174.0|188.5|Agent
232|ITA|25.0|49|232.0|187.0|Agent
235|FRA|60.0|40|174.0|243.5|Agent
237|FRA|47.0|43|174.0|277.0|Agent
239|FRA|63.0|68|174.0|40.0|Agent
241|FRA|59.0|40|174.0|183.0|Agent
244|FRA|39.0|42|174.0|180.0|Agent
249|FRA|34.0|43|174.0|180.0|Agent
251|FRA|30.0|38|174.0|247.0|Agent
252|FRA|30.0|57|509.62|440.5|Agent
256|ESP|31.0|11|88.0|37.0|Agent
258|FRA|58.0|68|174.0|63.5|Agent
259|FRA|54.0|38|174.0|328.0|Agent
261|PRT|38.0|91|238.0|67.0|Agent
263|GBR|65.0|28|138.0|453.2|Agent
266|PRT|36.0|43|219.0|48.0|Direct
268|PRT|46.0|23|138.0|71.98|Agent
270|FRA|56.0|101|192.0|54.0|Agent
273|FRA|65.0|57|613.7|25.0|Agent
275|ESP|43.0|56|522.75|76.0|Agent
279|ESP|44.0|56|522.75|46.0|Agent
281|ITA|71.0|44|182.4|111.6|Agent
284|FRA|55.0|29|138.0|42.0|Agent
287|ITA|65.0|44|182.4|111.6|Agent
292|PRT|22.0|44|182.4|111.6|Agent
294|PRT|58.0|44|182.4|111.6|Agent
296|PRT|54.0|44|182.4|111.6|Agent
298|PRT|78.0|44|182.4|111.6|Agent
300|PRT|68.0|44|182.4|111.6|Agent
302|PRT|31.0|39|308.5|56.0|Agent
303|PRT|31.0|39|925.5|186.0|Agent
308|ITA|60.0|23|159.0|156.5|Agent
310|ITA|66.0|23|159.0|150.0|Agent
312|ITA|44.0|4|162.0|75.0|Agent
313|ITA|61.0|23|162.0|75.0|Agent
314|ITA|63.0|23|162.0|77.5|Agent
315|ITA|68.0|23|159.0|150.0|Agent
317|ITA|65.0|23|159.0|150.0|Agent
319|ITA|41.0|23|159.0|150.0|Agent
321|ITA|67.0|23|162.0|75.0|Agent
322|ITA|74.0|23|159.0|150.0|Agent
324|ITA|42.0|23|159.0|162.0|Agent
326|ITA|39.0|23|159.0|150.0|Agent
327|ITA|71.0|23|159.0|160.0|Agent
328|ITA|52.0|4|277.17|114.83|Agent
330|ITA|58.0|23|159.0|150.0|Agent
332|ITA|72.0|23|381.6|73.4|Agent
333|ITA|47.0|23|250.6|140.4|Agent
335|DEU|30.0|29|300.24|256.36|Agent
338|ITA|65.0|23|159.0|150.0|Agent
340|PRT|38.0|44|182.4|111.6|Agent
344|ESP|57.0|31|138.0|69.0|Agent
346|PRT|43.0|44|182.4|114.1|Agent
347|ITA|59.0|44|182.4|111.6|Agent
349|ITA|57.0|44|182.4|111.6|Agent
355|PRT|48.0|69|555.0|98.0|Agent
357|PRT|73.0|44|182.4|111.6|Agent
359|PRT|68.0|44|182.4|111.6|Agent
361|PRT|41.0|44|166.2|55.8|Agent
363|PRT|83.0|44|182.4|111.6|Agent
368|PRT|30.0|45|627.3|8.0|Agent
369|FRA|25.0|12|204.0|42.0|Agent
371|ITA|70.0|23|159.0|272.0|Agent
375|PRT|67.0|0|59.0|6.0|Corporate
378|ITA|55.0|23|162.0|103.5|Agent
379|PRT|44.0|2|1086.0|162.0|Corporate
381|DEU|68.0|102|116.0|73.0|Agent
383|DEU|55.0|102|140.0|286.5|Agent
387|FRA|66.0|32|230.0|118.0|Agent
391|ITA|25.0|77|523.8|82.0|Agent
393|FRA|66.0|101|240.0|269.5|Agent
395|DEU|27.0|102|140.0|57.0|Agent
399|PRT|44.0|0|73.0|14.0|Direct
401|DEU|58.0|25|315.0|80.5|Agent
403|FRA|38.0|20|219.0|52.5|Corporate
404|PRT|61.0|66|332.0|188.5|Agent
406|FRA|63.0|20|219.0|33.0|Corporate
407|PRT|39.0|0|211.0|26.0|Direct
410|ESP|49.0|2|73.0|51.1|Direct
411|PRT|31.0|91|290.0|102.0|Agent
412|ESP|56.0|0|168.0|17.0|Direct
413|ESP|44.0|5|386.0|30.5|Corporate
414|PRT|52.0|0|124.0|46.0|Agent
415|FRA|31.0|11|224.0|56.0|Agent
419|FRA|41.0|35|138.0|75.0|Agent
423|PRT|31.0|0|78.0|14.0|Agent
426|PRT|35.0|25|116.0|32.5|Agent
427|PRT|75.0|106|192.0|396.5|Agent
431|FRA|56.0|106|240.0|101.0|Agent
433|DEU|67.0|20|290.0|72.0|Agent
446|FRA|54.0|21|328.8|328.7|Agent
457|PRT|41.0|32|138.0|42.0|Agent
460|FRA|53.0|30|230.0|176.5|Agent
463|PRT|30.0|0|345.0|142.2|Direct
464|GBR|64.0|39|232.8|164.6|Agent
468|GBR|41.0|39|165.0|55.8|Agent
469|FRA|51.0|1|238.75|167.0|Agent
471|PRT|64.0|0|73.0|7.0|Direct
473|PRT|58.0|0|79.0|3.5|Agent
475|PRT|58.0|73|137.4|42.0|Agent
477|DEU|55.0|9|224.0|155.0|Agent
482|PRT|60.0|0|335.0|75.0|Direct
483|FRA|32.0|39|174.0|144.0|Agent
486|PRT|39.0|1|207.0|21.0|Direct
487|FRA|40.0|13|204.0|42.0|Agent
493|PRT|54.0|1|73.0|16.0|Direct
494|FRA|30.0|38|230.0|146.6|Agent
500|FRA|30.0|1|65.7|11.0|Agent
502|DEU|61.0|2|65.7|13.0|Agent
504|PRT|31.0|2|59.0|9.0|Corporate
505|PRT|31.0|2|59.0|9.0|Corporate
506|PRT|27.0|2|59.0|9.0|Corporate
507|PRT|35.0|2|59.0|9.0|Agent
508|ITA|50.0|0|64.0|3.5|Agent
509|PRT|34.0|1|52.0|17.0|Agent
513|DEU|42.0|25|116.0|30.0|Agent
515|FRA|61.0|5|168.0|85.0|Agent
517|PRT|67.0|1|232.0|54.0|Agent
518|PRT|54.0|1|116.0|32.0|Agent
520|PRT|51.0|10|65.6|15.0|Agent
522|FRA|64.0|35|184.0|56.0|Agent
523|PRT|44.0|1|92.0|2.0|Direct
524|FRA|42.0|49|110.44|51.5|Agent
526|DEU|46.0|5|124.2|40.0|Agent
527|FRA|36.0|36|138.0|60.0|Agent
531|PRT|32.0|2|56.0|14.0|Direct
533|PRT|34.0|50|114.0|55.5|Agent
534|FRA|64.0|50|114.0|77.0|Agent
537|FRA|66.0|50|114.0|54.0|Agent
538|FRA|53.0|50|114.0|61.0|Agent
539|FRA|47.0|50|114.0|54.0|Agent
540|FRA|27.0|50|132.0|29.0|Agent
541|FRA|31.0|50|114.0|60.0|Agent
542|FRA|31.0|50|114.0|54.0|Agent
543|FRA|38.0|50|114.0|57.0|Agent
544|FRA|28.0|50|114.0|54.0|Agent
545|FRA|38.0|50|342.0|126.0|Agent
546|FRA|36.0|50|114.0|54.0|Agent
547|FRA|41.0|50|114.0|68.5|Agent
548|PRT|54.0|50|114.0|54.0|Agent
549|PRT|33.0|3|114.0|54.0|Agent
554|GBR|56.0|4|115.5|6.0|Agent
555|FRA|27.0|42|184.0|139.0|Agent
556|DEU|59.0|70|116.0|72.5|Agent
558|FRA|47.0|46|138.0|42.0|Agent
560|FRA|55.0|42|138.0|122.5|Agent
562|FRA|49.0|42|184.0|61.0|Agent
563|PRT|53.0|0|66.0|28.0|Direct
567|FRA|63.0|45|138.0|42.0|Agent
570|DEU|78.0|17|112.0|70.0|Agent
573|FRA|37.0|12|190.0|247.8|Agent
574|FRA|38.0|20|146.0|19.0|Corporate
578|DEU|52.0|34|140.0|51.0|Agent
580|ITA|57.0|46|92.0|50.5|Agent
589|ESP|63.0|5|58.8|12.0|Agent
591|ESP|58.0|5|58.8|15.5|Agent
592|DEU|54.0|36|128.0|14.0|Agent
596|FRA|51.0|12|128.0|14.0|Agent
597|DEU|49.0|13|64.0|7.0|Agent
599|DEU|61.0|12|128.0|19.0|Agent
600|ITA|51.0|12|128.0|16.5|Agent
601|PRT|56.0|7|795.0|1350.0|Corporate
603|PRT|44.0|63|128.0|14.0|Agent
604|DEU|42.0|36|128.0|14.0|Agent
605|DEU|51.0|36|128.0|17.0|Agent
607|FRA|30.0|48|230.0|149.0|Agent
611|PRT|44.0|0|267.0|42.0|Agent
613|PRT|51.0|3|59.0|9.0|Corporate
614|PRT|49.0|3|59.0|46.0|Corporate
615|GBR|53.0|1|292.0|30.5|Direct
616|PRT|56.0|1|64.0|16.0|Direct
617|DEU|32.0|62|215.0|111.0|Agent
619|PRT|54.0|9|89.0|17.99|Direct
621|PRT|25.0|0|67.0|14.0|Direct
623|PRT|44.0|0|493.0|46.0|Direct
625|PRT|62.0|0|79.0|2.0|Agent
628|DEU|66.0|7|232.0|75.5|Agent
633|GBR|60.0|86|67.2|14.0|Direct
637|DEU|63.0|0|77.0|23.0|Direct
644|PRT|33.0|0|77.0|14.0|Direct
645|PRT|48.0|6|73.0|14.0|Direct
647|PRT|80.0|21|96.0|92.0|Direct
650|GBR|42.0|85|105.2|28.0|Agent
652|GBR|79.0|8|308.0|78.3|Agent
659|FRA|55.0|46|138.0|126.5|Agent
661|FRA|38.0|49|138.0|42.0|Agent
663|FRA|60.0|46|138.0|82.0|Agent
665|FRA|23.0|0|387.0|23.5|Direct
666|PRT|53.0|0|231.0|134.49|Direct
668|PRT|62.0|4|50.0|30.3|Corporate
670|PRT|45.0|21|1132.0|181.5|Corporate
671|PRT|43.0|0|219.0|30.0|Direct
677|GBR|76.0|73|285.0|70.0|Agent
678|PRT|69.0|47|138.0|42.0|Agent
680|PRT|37.0|4|150.0|42.0|Corporate
685|PRT|38.0|0|79.0|11.0|Agent
687|PRT|35.0|0|67.0|33.0|Direct
692|FRA|33.0|11|224.0|96.7|Agent
697|ITA|43.0|33|300.0|96.5|Corporate
700|ESP|33.0|33|312.0|42.0|Corporate
713|PRT|58.0|33|312.0|42.0|Corporate
721|FRA|45.0|15|73.0|7.0|Corporate
722|FRA|41.0|15|73.0|7.0|Corporate
723|FRA|51.0|40|146.0|46.6|Corporate
725|DEU|31.0|11|163.8|32.0|Agent
730|ITA|45.0|53|138.0|87.0|Agent
745|ESP|76.0|1|73.0|7.0|Direct
746|PRT|39.0|103|388.0|120.0|Direct
749|ITA|51.0|15|146.0|16.5|Corporate
755|ITA|70.0|0|146.0|16.5|Corporate
757|FRA|38.0|8|368.0|95.6|Corporate
758|FRA|51.0|12|219.0|78.5|Corporate
759|GBR|42.0|0|330.8|122.0|Agent
764|GBR|60.0|1|73.0|31.5|Direct
765|PRT|42.0|59|154.0|8.0|Agent
766|PRT|40.0|59|74.0|8.0|Agent
778|PRT|60.0|59|74.0|64.5|Agent
779|FRA|65.0|53|230.0|97.5|Agent
781|PRT|52.0|58|296.0|28.0|Agent
782|PRT|59.0|58|148.0|14.0|Agent
783|PRT|45.0|58|148.0|14.0|Agent
784|PRT|31.0|58|296.0|28.0|Agent
785|ESP|58.0|59|74.0|7.0|Agent
786|ESP|37.0|4|227.2|111.5|Agent
787|PRT|48.0|58|148.0|16.5|Agent
788|ESP|54.0|7|146.0|39.0|Direct
789|PRT|54.0|14|73.0|44.5|Direct
790|PRT|54.0|58|296.0|46.0|Agent
791|PRT|54.0|58|296.0|28.0|Agent
792|PRT|55.0|0|150.0|37.0|Direct
799|PRT|30.0|58|296.0|28.0|Agent
800|PRT|50.0|9|251.0|70.0|Corporate
802|PRT|54.0|58|290.0|60.0|Agent
804|DEU|33.0|0|692.7|246.0|Agent
805|DEU|33.0|0|692.7|223.5|Agent
807|DEU|53.0|0|692.7|316.0|Agent
809|DEU|43.0|0|1695.9|376.0|Agent
811|DEU|43.0|0|931.5|339.0|Agent
813|PRT|54.0|1|125.4|285.5|Agent
815|PRT|37.0|59|74.0|9.5|Agent
816|FRA|68.0|9|280.0|195.0|Agent
819|DEU|59.0|105|350.0|70.0|Agent
821|PRT|56.0|58|370.0|33.0|Agent
822|PRT|36.0|59|148.0|14.0|Agent
823|PRT|48.0|2|111.0|27.0|Direct
824|PRT|64.0|58|370.0|37.5|Agent
825|ITA|44.0|52|298.0|48.0|Agent
830|PRT|53.0|11|355.0|115.0|Direct
833|PRT|65.0|59|146.0|49.0|Agent
836|PRT|60.0|58|370.0|80.0|Agent
838|PRT|51.0|0|231.0|90.0|Direct
839|ESP|41.0|13|112.0|12.0|Agent
840|FRA|32.0|60|92.0|37.0|Agent
844|PRT|47.0|17|177.0|77.0|Corporate
848|PRT|43.0|0|60.6|17.0|Agent
852|PRT|45.0|9|237.0|43.0|Direct
853|PRT|73.0|15|146.0|83.0|Direct
855|PRT|75.0|15|438.0|76.0|Direct
857|PRT|36.0|0|205.0|46.5|Direct
859|GBR|34.0|67|86.0|55.0|Agent
862|PRT|31.0|1|46.0|83.0|Direct
864|DEU|24.0|14|135.9|28.0|Direct
867|PRT|23.0|1|117.0|21.0|Agent
868|PRT|42.0|1|601.0|121.0|Direct
877|PRT|80.0|0|201.0|75.5|Direct
878|ITA|56.0|81|146.0|26.0|Direct
880|ITA|54.0|81|146.0|33.0|Direct
882|FRA|28.0|4|168.0|105.1|Agent
884|ESP|55.0|0|268.0|92.0|Direct
885|PRT|25.0|0|231.0|40.0|Direct
886|PRT|68.0|69|204.0|44.5|Agent
888|PRT|69.0|4|168.0|30.0|Agent
890|FRA|37.0|13|146.0|34.0|Corporate
891|PRT|46.0|3|327.22|129.3|Corporate
892|PRT|45.0|9|118.0|14.0|Corporate
900|FRA|26.0|60|92.0|28.0|Agent
902|GBR|40.0|79|151.92|42.0|Agent
904|FRA|38.0|20|168.0|30.0|Agent
906|FRA|57.0|55|138.0|132.0|Agent
908|FRA|28.0|0|158.0|183.49|Direct
909|PRT|32.0|3|73.0|7.0|Agent
910|FRA|43.0|14|249.0|21.0|Direct
911|FRA|37.0|14|83.0|75.0|Direct
912|DEU|56.0|70|350.0|76.5|Agent
914|DEU|57.0|20|207.0|36.0|Direct
915|ESP|49.0|15|59.0|7.0|Corporate
920|FRA|33.0|5|180.66|30.0|Agent
921|PRT|19.0|3|128.0|18.0|Corporate
925|PRT|45.0|0|73.0|7.0|Agent
926|GBR|38.0|10|158.0|33.5|Agent
928|DEU|41.0|16|168.0|44.0|Agent
929|ESP|56.0|3|219.0|32.5|Direct
930|FRA|49.0|5|168.0|42.5|Agent
932|FRA|28.0|0|158.8|38.2|Direct
933|FRA|37.0|9|118.0|30.5|Direct
934|PRT|57.0|12|158.0|16.5|Direct
935|ESP|37.0|6|173.1|18.3|Agent
936|FRA|56.0|13|224.0|40.0|Agent
938|FRA|58.0|5|224.0|40.0|Agent
940|PRT|24.0|1|224.0|60.0|Direct
942|FRA|30.0|1|170.0|61.7|Agent
944|PRT|42.0|5|53.2|21.8|Agent
948|PRT|52.0|31|126.0|39.0|Corporate
949|PRT|46.0|9|73.0|9.5|Direct
950|PRT|45.0|31|128.0|14.0|Corporate
951|PRT|41.0|31|126.0|46.0|Corporate
953|DEU|59.0|4|116.14|28.0|Agent
955|PRT|44.0|31|126.0|46.0|Corporate
957|PRT|42.0|4|73.0|7.0|Direct
960|PRT|48.0|31|126.0|46.0|Corporate
961|PRT|51.0|35|378.0|199.5|Agent
963|PRT|51.0|31|126.0|28.0|Corporate
965|DEU|70.0|34|290.0|301.0|Agent
967|PRT|70.0|31|128.0|193.24|Corporate
969|PRT|51.0|4|219.0|59.0|Direct
972|FRA|27.0|0|158.0|14.5|Direct
979|FRA|63.0|59|138.0|113.0|Agent
981|PRT|27.0|6|168.0|30.0|Agent
983|FRA|66.0|2|178.0|16.0|Corporate
985|DEU|63.0|0|237.0|123.0|Agent
987|PRT|47.0|1|227.0|28.5|Direct
990|FRA|56.0|13|790.0|772.0|Corporate
993|FRA|60.0|15|158.0|21.5|Corporate
998|ITA|48.0|6|158.0|53.0|Agent
1000|GBR|35.0|70|135.0|4.0|Agent
1004|PRT|30.0|22|172.8|42.0|Agent
1006|GBR|55.0|129|144.0|220.5|Agent
1008|ITA|47.0|6|429.0|236.0|Agent
1014|FRA|63.0|0|237.0|0.0|Direct
1016|FRA|60.0|0|79.0|11.5|Agent
1018|FRA|27.0|58|230.0|70.0|Agent
1020|FRA|50.0|9|168.0|37.5|Agent
1022|FRA|61.0|61|230.0|116.0|Agent
1029|DEU|51.0|85|285.0|70.0|Agent
1032|FRA|61.0|81|126.0|28.0|Direct
1034|FRA|26.0|81|378.0|91.5|Direct
1035|DEU|45.0|8|266.9|40.6|Agent
1043|PRT|37.0|73|207.0|59.5|Direct
1045|PRT|35.0|2|187.6|74.4|Direct
1047|DEU|69.0|2|94.0|26.0|Agent
1049|DEU|69.0|40|116.0|37.5|Agent
1057|ESP|46.0|5|251.5|190.0|Direct
1061|ITA|49.0|10|334.5|95.0|Direct
1063|ITA|46.0|4|86.0|42.5|Agent
1065|ITA|49.0|4|86.0|39.5|Agent
1067|PRT|40.0|4|411.6|216.4|Agent
1070|PRT|51.0|12|239.0|34.0|Direct
1073|PRT|51.0|12|454.5|448.5|Direct
1081|FRA|55.0|137|216.0|63.0|Agent
1088|DEU|60.0|8|58.07|23.0|Agent
1089|GBR|38.0|64|156.6|38.4|Agent
1093|FRA|51.0|51|184.5|21.0|Direct
1094|FRA|50.0|51|553.5|63.0|Direct
1095|FRA|32.0|1|129.0|36.0|Agent
1102|FRA|28.0|19|73.0|7.0|Direct
1103|ITA|50.0|0|158.0|72.0|Direct
1105|FRA|39.0|48|180.0|42.0|Agent
1107|ITA|78.0|2|176.0|460.14|Direct
1110|FRA|29.0|12|214.88|17.0|Agent
1128|PRT|23.0|6|349.4|134.6|Direct
1130|PRT|43.0|0|250.0|68.6|Direct
1174|DEU|63.0|59|276.0|122.0|Agent
1195|ITA|47.0|2|274.0|83.0|Direct
1198|FRA|71.0|26|202.56|56.0|Agent
1200|DEU|37.0|19|140.0|37.0|Agent
1202|FRA|77.0|25|202.56|56.0|Agent
1204|GBR|28.0|9|168.0|9.0|Agent
1206|FRA|31.0|66|192.0|63.0|Agent
1209|DEU|38.0|20|112.44|14.0|Agent
1210|PRT|37.0|92|111.0|28.0|Agent
1223|FRA|47.0|4|240.88|64.0|Agent
1224|FRA|59.0|6|300.8|60.0|Agent
1227|PRT|65.0|3|77.0|14.0|Direct
1231|PRT|25.0|19|115.4|30.5|Direct
1232|PRT|46.0|4|285.9|141.8|Corporate
1234|PRT|70.0|0|192.0|28.5|Corporate
1235|ESP|40.0|1|73.0|7.0|Direct
1236|FRA|23.0|29|168.0|64.0|Agent
1241|FRA|51.0|1|548.0|240.0|Direct
1252|DEU|56.0|41|261.0|64.0|Agent
1260|PRT|74.0|3|305.75|123.0|Agent
1261|ESP|58.0|5|268.4|25.0|Agent
1263|PRT|36.0|33|123.0|94.1|Direct
1265|FRA|52.0|28|207.98|96.0|Agent
1267|PRT|58.0|2|348.0|84.0|Corporate
1271|FRA|50.0|65|138.0|120.5|Agent
1279|FRA|30.0|2|210.0|86.5|Agent
1280|PRT|60.0|66|92.0|81.0|Agent
1282|PRT|53.0|1|77.0|14.0|Direct
1284|PRT|31.0|5|79.0|2.0|Agent
1286|ITA|43.0|1|219.0|18.0|Corporate
1287|ITA|36.0|1|219.0|18.0|Corporate
1288|DEU|35.0|24|140.0|56.5|Agent
1292|ITA|43.0|1|219.0|19.0|Corporate
1293|ITA|63.0|1|219.0|19.0|Corporate
1294|GBR|65.0|139|216.0|63.0|Agent
1297|PRT|32.0|8|158.0|11.5|Agent
1299|FRA|58.0|0|474.0|84.0|Agent
1301|FRA|54.0|0|158.0|69.5|Agent
1305|FRA|67.0|36|168.0|188.5|Agent
1307|DEU|50.0|21|150.66|141.0|Agent
1308|FRA|19.0|7|151.8|100.2|Agent
1311|FRA|59.0|7|129.0|180.0|Agent
1312|FRA|43.0|2|86.0|64.5|Agent
1314|DEU|61.0|76|280.0|117.44|Agent
1316|PRT|49.0|22|129.0|85.0|Direct
1321|FRA|29.0|72|92.0|35.5|Agent
1323|PRT|32.0|24|64.5|23.0|Direct
1325|PRT|28.0|24|64.5|41.0|Direct
1326|ESP|51.0|4|60.8|21.5|Agent
1330|FRA|40.0|29|222.0|113.0|Direct
1332|PRT|56.0|29|222.0|112.0|Direct
1335|PRT|22.0|3|60.83|174.0|Agent
1337|PRT|21.0|0|113.0|14.0|Direct
1339|PRT|30.0|77|377.04|44.5|Agent
1341|FRA|44.0|0|94.0|114.5|Agent
1351|PRT|29.0|19|64.5|113.0|Direct
1352|PRT|24.0|11|83.0|14.0|Direct
1354|PRT|26.0|2|83.0|55.0|Direct
1356|PRT|37.0|3|83.0|14.0|Direct
1358|PRT|36.0|1|166.0|80.0|Direct
1359|PRT|27.0|4|83.0|14.0|Direct
1361|PRT|25.0|1|129.0|67.0|Agent
1363|FRA|42.0|137|264.0|49.0|Direct
1365|FRA|54.0|7|129.0|100.7|Agent
1376|ESP|54.0|15|202.8|138.6|Agent
1380|PRT|37.0|96|111.0|53.5|Agent
1385|DEU|23.0|9|140.0|39.0|Agent
1387|FRA|34.0|76|196.36|27.5|Agent
1388|FRA|65.0|18|168.0|30.0|Agent
1391|ESP|64.0|2|304.0|243.0|Agent
1396|PRT|56.0|11|184.8|42.0|Agent
1398|DEU|28.0|3|249.4|108.3|Agent
1411|ITA|57.0|17|644.9|172.5|Agent
1412|FRA|52.0|1|210.0|36.0|Agent
1414|FRA|48.0|3|129.0|81.0|Agent
1419|FRA|69.0|19|268.6|316.5|Agent
1423|FRA|35.0|11|170.73|27.0|Agent
1427|PRT|47.0|4|172.0|111.0|Agent
1429|FRA|42.0|19|163.71|42.0|Agent
1431|PRT|27.0|16|166.0|46.0|Direct
1435|PRT|38.0|0|249.0|42.0|Direct
1437|FRA|29.0|72|184.0|90.0|Agent
1439|FRA|55.0|4|339.0|49.5|Direct
1441|FRA|51.0|17|705.0|207.5|Corporate
1442|FRA|28.0|11|129.0|42.0|Agent
1445|FRA|60.0|10|172.0|56.0|Agent
1447|FRA|20.0|12|129.0|126.0|Agent
1448|FRA|51.0|3|210.0|36.0|Agent
1452|FRA|64.0|17|199.52|66.5|Agent
1454|FRA|52.0|12|129.0|77.0|Agent
1456|GBR|58.0|87|213.87|139.5|Agent
1458|GBR|56.0|0|78.0|49.0|Agent
1461|PRT|68.0|4|60.8|23.0|Agent
1463|PRT|63.0|99|262.0|56.0|Agent
1471|FRA|73.0|9|172.0|56.0|Agent
1473|DEU|28.0|11|232.28|81.3|Agent
1476|ESP|39.0|6|146.0|14.0|Direct
1477|PRT|42.0|25|120.44|66.5|Agent
1479|GBR|41.0|1|59.3|33.5|Agent
1480|FRA|28.0|74|138.0|121.5|Agent
1485|GBR|32.0|7|218.28|56.0|Agent
1487|ESP|43.0|3|403.2|357.8|Direct
1489|FRA|57.0|11|215.0|217.94|Agent
1491|FRA|41.0|68|230.0|124.0|Agent
1493|PRT|38.0|0|150.0|29.0|Direct
1494|FRA|24.0|6|172.0|141.0|Agent
1496|FRA|58.0|1|389.0|63.0|Agent
1499|FRA|30.0|4|210.0|107.5|Agent
1501|FRA|37.0|8|168.0|82.5|Agent
1512|DEU|53.0|4|146.0|37.0|Direct
1514|PRT|36.0|13|280.0|110.0|Agent
1519|ESP|37.0|5|175.2|65.3|Agent
1531|ESP|31.0|0|79.0|0.0|Agent
1532|FRA|58.0|0|73.0|9.5|Direct
1538|FRA|36.0|9|129.0|135.0|Agent
1540|FRA|64.0|7|330.0|368.0|Agent
1545|PRT|31.0|8|74.0|9.0|Agent
1546|PRT|43.0|99|74.0|7.0|Agent
1547|PRT|52.0|99|74.0|7.0|Agent
1548|PRT|42.0|4|74.0|7.0|Agent
1549|PRT|37.0|99|74.0|7.0|Agent
1550|PRT|46.0|15|74.0|9.0|Agent
1551|PRT|43.0|99|74.0|7.0|Agent
1554|PRT|36.0|99|74.0|7.0|Agent
